,pct_missing,nobs,r2,r2_adj,bic,r2_pred,mse_pred,mape_pred,const_ci_rng,const_estimate,const_in_target,const_true_beta,x1_ci_rng,x1_estimate,x1_in_target,x1_true_beta,x1:x2_ci_rng,x1:x2_estimate,x1:x2_in_target,x1:x2_true_beta,x2_ci_rng,x2_estimate,x2_in_target,x2_true_beta,action_type,beta_sigma,sample_size,beta_x2/beta_x1,beta_x1:x2/beta_x1,_beta_sigma,_sample_size,_beta_x2/beta_x1,_beta_x1:x2/beta_x1
0,0.0,20.0,0.8879843664393376,0.8669814351467134,65.99463224880016,0.8659088631750091,1.0408646889375077,5.480553857529902,6.4231743784262285,10.803676015358214,1,10,9.399907369695637,9.07995165136938,1,10,15.053851713899718,1.1657677236988846,1,1,9.535474122880666,0.38709702201047946,1,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
1,0.1,20.0,0.8473954658291608,0.8187821156721284,72.17885993431867,0.8409618737359843,1.2345123901742263,5.963448434450341,6.1401038207677985,12.89859104179537,1,10,9.11311292979714,6.100811000607186,1,10,14.506588972188396,5.997082925587893,1,1,8.851787719278251,-2.947767336921946,1,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
2,0.2,20.0,0.7875259122867582,0.7476870208405253,78.79826412558344,0.7996391453014386,1.555274596360969,6.5171972850181,6.5680374245359445,15.091596876619022,0,10,9.041594504804156,2.410682935035581,0,10,12.00806400614697,12.18152641182432,0,1,7.873424039201749,-6.45856796588025,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
3,0.30000000000000004,20.0,0.7807882394415862,0.7396860343368836,79.42262742680333,0.7927566283950431,1.6086992222423373,6.811059879439271,9.020163115790107,14.923747749468989,0,10,12.357380729529925,2.518747476300886,0,10,15.67599683135418,11.810969660622012,0,1,11.374983905136968,-5.898936557744715,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
4,0.4,20.0,0.7759333995195383,0.7339209119294517,79.86072993519245,0.775931932436125,1.7392986961553938,7.11920982776188,8.085027656681936,15.562683763467431,0,10,10.858435045116805,1.5869443596248445,0,10,13.004008979111594,13.069529201344997,0,1,9.994627297293007,-6.709621453414645,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
5,0.5,20.0,0.8300822800606961,0.7982227075720766,74.32814970100468,0.8238719724444535,1.367170485354658,5.4789506231714595,5.505152974791981,13.954260929969532,0,10,8.024398988660977,4.480841482576693,0,10,8.584389588074117,12.040672655119725,0,1,5.687458566141558,-6.555232023406996,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
6,0.6000000000000001,20.0,0.8487718125605291,0.8204165274156283,71.99766073515379,0.7454945542394162,1.9755648129095484,7.182848464550673,4.990336131863078,13.716079128864871,0,10,7.920827607624833,5.374200415132602,0,10,8.106711163809734,11.66797926749297,0,1,5.945092094511443,-5.574029333229892,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
7,0.7000000000000001,20.0,0.7776709261648549,0.7359842248207652,79.70503528848431,0.5900984342515947,3.181806611756573,9.575233034261352,11.037524443602841,18.453030985324677,0,10,15.042030862786316,-2.538601234130642,0,10,8.864039433301796,14.98754281461106,0,1,6.356150193314835,-8.28116190659704,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
0,0.0,20.0,0.8879843664393376,0.8669814351467134,65.99463224880017,0.8659088631750093,1.0408646889375066,5.4805538575299035,6.4231743784262285,10.803676015358214,1,10,9.39990736969564,9.079951651369383,1,10,15.053851713899718,1.1657677236988917,1,1,9.53547412288067,0.3870970220104759,1,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
1,0.1,20.0,0.8473954658291608,0.8187821156721284,72.17885993431867,0.8409618737359843,1.2345123901742263,5.963448434450341,6.1401038207677985,12.89859104179537,1,10,9.11311292979714,6.100811000607186,1,10,14.506588972188396,5.997082925587893,1,1,8.851787719278251,-2.947767336921946,1,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
2,0.2,20.0,0.7875259122867582,0.7476870208405253,78.79826412558344,0.7996391453014386,1.555274596360969,6.5171972850181,6.5680374245359445,15.091596876619022,0,10,9.041594504804154,2.410682935035581,0,10,12.00806400614697,12.18152641182432,0,1,7.8734240392017485,-6.45856796588025,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
3,0.30000000000000004,20.0,0.7807882394415862,0.7396860343368836,79.42262742680333,0.7927566283950431,1.6086992222423373,6.811059879439271,9.020163115790107,14.923747749468989,0,10,12.357380729529925,2.518747476300886,0,10,15.67599683135418,11.810969660622012,0,1,11.374983905136968,-5.898936557744715,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
4,0.4,20.0,0.7759333995195384,0.7339209119294519,79.86072993519245,0.775931932436125,1.7392986961553938,7.11920982776188,8.085027656681936,15.562683763467431,0,10,10.858435045116803,1.5869443596248445,0,10,13.004008979111592,13.069529201344997,0,1,9.994627297293007,-6.709621453414645,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
5,0.5,20.0,0.8300822800606961,0.7982227075720766,74.32814970100468,0.8238719724444535,1.367170485354658,5.4789506231714595,5.505152974791981,13.954260929969532,0,10,8.024398988660977,4.480841482576693,0,10,8.584389588074117,12.040672655119725,0,1,5.687458566141558,-6.555232023406996,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
6,0.6000000000000001,20.0,0.8487718125605291,0.8204165274156283,71.99766073515379,0.7454945542394162,1.9755648129095484,7.182848464550673,4.990336131863078,13.716079128864871,0,10,7.920827607624833,5.374200415132602,0,10,8.106711163809734,11.66797926749297,0,1,5.945092094511443,-5.574029333229892,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
7,0.7000000000000001,20.0,0.7776709261648548,0.7359842248207651,79.70503528848432,0.5900984342515949,3.1818066117565698,9.575233034261341,11.037524443602848,18.453030985324673,0,10,15.04203086278632,-2.5386012341306436,0,10,8.864039433301794,14.987542814611063,0,1,6.356150193314836,-8.28116190659704,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
0,0.0,20.0,0.8879843664393376,0.8669814351467134,65.99463224880016,0.8659088631750091,1.0408646889375077,5.480553857529902,6.4231743784262285,10.803676015358214,1,10,9.399907369695637,9.07995165136938,1,10,15.053851713899718,1.1657677236988846,1,1,9.535474122880666,0.38709702201047946,1,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
1,0.1,20.0,0.8473954658291608,0.8187821156721284,72.17885993431867,0.8409618737359843,1.2345123901742263,5.963448434450341,6.1401038207677985,12.89859104179537,1,10,9.11311292979714,6.100811000607186,1,10,14.506588972188396,5.997082925587893,1,1,8.851787719278251,-2.947767336921946,1,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
2,0.2,20.0,0.7875259122867582,0.7476870208405253,78.79826412558344,0.7996391453014388,1.5552745963609684,6.5171972850180975,6.5680374245359445,15.091596876619022,0,10,9.041594504804154,2.410682935035581,0,10,12.008064006146967,12.181526411824322,0,1,7.873424039201748,-6.458567965880251,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
3,0.30000000000000004,20.0,0.780788239441586,0.7396860343368834,79.42262742680333,0.7927566283950431,1.6086992222423373,6.811059879439271,9.020163115790108,14.923747749468989,0,10,12.357380729529925,2.518747476300886,0,10,15.67599683135418,11.810969660622012,0,1,11.374983905136968,-5.898936557744715,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
4,0.4,20.0,0.7759333995195383,0.7339209119294517,79.86072993519245,0.775931932436125,1.7392986961553938,7.11920982776188,8.085027656681936,15.562683763467431,0,10,10.858435045116805,1.5869443596248445,0,10,13.004008979111594,13.069529201344997,0,1,9.994627297293007,-6.709621453414645,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
